源节点,目标节点,担保时间,担保类型,担保金额
T00015c9410625408a724a30fd498f7fa,Tae92c5a4e436345ba9ea9a4de1be49a8,1900-1-1,Focus,0
T00eff255da0478c5a1d97c9b2ce5c344,T7b65591ee550ede15463b73d1a1f4228,1900-1-1,Chain,0
T017651f3dc6670a1925e6fd9152e59b6,T00442d0bf3ac4bc5cc99ae9a83bf5926,1900-1-1,Focus,0
T017a285f38a87f0012b7ed9b3070d5f7,T48fdf358e5ca5a16bcefca33efc96654,1900-1-1,Focus,0
T02e35599b7eb48cbd123be1e5496021f,T2459812f3144cac009f147c43838fec0,1900-1-1,Chain,0
T0315b0d5b6aa6af7e54b6de7d8078607,T2456b39e1e8684ca000c392187de78ff,1900-1-1,Focus,0
T033bcec525c2853d4e8474c87bbd8ec7,Ta99874ff42f5f3bf0be0136ae8022bc3,1900-1-1,Focus,0
T04288c2f1a9c2dc845a877c7c33324b9,T48bdd5d7fca0b8054ac7f48f5ba4347b,1900-1-1,Chain,0
T0525ed74fdd6c19df730e57fbcd18b48,T1422d8230dc8d1818454f85ca41df422,1900-1-1,Chain,0
T0531e3f9b02f704fd287e66308091040,T233e17c2d268be5ecd10aa3ac50d5724,1900-1-1,Cross,0
T05acf2bbfeadb32f951f0323529ac137,Tb0edd111e394d19749bf7eff9db39fc0,1900-1-1,Chain,0
T05c0baa1fa22db109460806a31021d91,T6a825fc8d24c02a1613d26d67524af36,1900-1-1,Chain,0
T07233e99d107d2841a24ecdce80f663c,Ta140e8f9dc31cf5b0422e816b000f249,1900-1-1,Focus,0
T0726733c4816c61d46cd1c1e543a7df4,T46985ae103aa96e9beb6ed37aa122e6e,1900-1-1,Chain,0
T0744b20c1be366e37aebd937906560a8,T0d78ed518d6ba3a470066a02b1b5ffc5,1900-1-1,Chain,0
T085033b971a8228d199dbef0d03327b0,Tfa7a14c735d083300f3452cdfd5568d4,1900-1-1,Focus,0
T087a91a21741eac6dad743f9b399efc9,Tb90c36e440d93b118a03fb1a61db4982,1900-1-1,Focus,0
T08bd03ee5883c7bc8a0c60323eca4793,Tb56e1bed99256ba197bcd4fcef3a77eb,1900-1-1,Focus,0
T08be4cd6a95631b4dbccf70b9f2b8ec9,Tb56e1bed99256ba197bcd4fcef3a77eb,1900-1-1,Focus,0
T0971d7fc13acb2d3bf3ab2406ff59931,T2349f8e7f18cd0d15efbadab5cb65cc9,1900-1-1,Focus,0
T09ef3f1664979bc053d8db864ac5f54c,T2349f8e7f18cd0d15efbadab5cb65cc9,1900-1-1,Focus,0
T09ef3f1664979bc053d8db864ac5f54c,Tc911e62690536cd51ca5678be7b62df5,1900-1-1,Focus,0
T0a209160a6d7cc1ac5e27ee62261dd7b,T12975862f3f1a3d12515f098612c2343,1900-1-1,Chain,0
T0a672cdccbc9ffe4483f1d6938ef34b2,Te6fab2e4eee149bbe6f70b370c1782e1,1900-1-1,Focus,0
T0ac635a40743a02d0ff9d8d40cb98e17,T8eaa30e2cc4a114d6c582fac58dec96d,1900-1-1,Chain,0
